서구,계,계,15095,11093,7717,5598,3278
서구,계,1인가구,3816,2869,2152,1822,1239
남구,계,계,11658,8806,6681,5231,3676
남구,계,1인가구,3146,2299,1929,1700,1423
북구,계,계,27325,18271,13028,9836,5994
북구,계,1인가구,5511,4126,3424,2962,2156
수성구,계,계,26453,18665,13516,10234,7397
수성구,계,1인가구,4664,3799,3106,2832,2581
달서구,계,계,37312,24696,16107,11463,7509
달서구,계,1인가구,7749,5681,4284,3723,2889
달성군,계,계,15658,9970,6597,4382,2984
달성군,계,1인가구,2939,2057,1538,1302,1015
군위군,계,계,2875,2197,1694,1551,1293
군위군,계,1인가구,500,438,405,518,554
인천광역시,계,계,198523,118226,85736,57813,40957
인천광역시,계,1인가구,38335,24900,20262,15999,12693
읍부,계,계,1931,1328,1173,887,686
읍부,계,1인가구,383,260,280,241,210
면부,계,계,8156,5500,4509,3384,3009
면부,계,1인가구,1540,1077,1030,897,878
동부,계,계,188436,111398,80054,53542,37262
동부,계,1인가구,36412,23563,18952,14861,11605
중구,계,계,9028,6020,4597,2948,1983
중구,계,1인가구,2076,1363,1109,805,591
동구,계,계,4985,3530,2983,2113,1383
동구,계,1인가구,1068,812,769,657,514
연수구,계,계,21328,11253,7655,5218,3984
연수구,계,1인가구,3112,1911,1538,1303,1085
남동구,계,계,34225,20925,14951,9791,6461
남동구,계,1인가구,7275,4840,3797,2964,2121
부평구,계,계,35018,20936,14955,10308,7385
부평구,계,1인가구,6791,4476,3621,2932,2399
계양구,계,계,20646,10874,7370,5183,3828
계양구,계,1인가구,3869,2257,1845,1563,1285
서구,계,계,33998,18953,12667,7851,5423
서구,계,1인가구,5932,3671,2741,1942,1468
미추홀구,계,계,29208,18907,14876,10130,6815
미추홀구,계,1인가구,6289,4233,3532,2695,2142
강화군,계,계,7855,5410,4585,3560,3013
강화군,계,1인가구,1325,996,1010,939,883
옹진군,계,계,2232,1418,1097,711,682
옹진군,계,1인가구,598,341,300,199,205
광주광역시,계,계,85649,56835,45148,30863,20411
광주광역시,계,1인가구,18427,13118,11474,9577,7397
동구,계,계,7694,5710,4868,3661,2311
동구,계,1인가구,1720,1262,1152,1025,790
서구,계,계,17787,11847,9241,6244,4140
서구,계,1인가구,3767,2730,2373,1927,1491
남구,계,계,14623,10446,8581,5721,3878
남구,계,1인가구,2849,2212,1954,1682,1390
북구,계,계,27980,18498,14408,9697,6358
북구,계,1인가구,6612,4553,3869,3112,2361
광산구,계,계,17565,10334,8050,5540,3724
광산구,계,1인가구,3479,2361,2126,1831,1365
대전광역시,계,계,92513,60246,42365,30180,21313
대전광역시,계,1인가구,18942,13184,10306,8708,7147
동구,계,계,16391,11593,8563,6335,4301
동구,계,1인가구,3850,2850,2324,2015,1563
중구,계,계,16587,12194,9685,6845,4865
중구,계,1인가구,3772,2866,2421,1957,1612
서구,계,계,28127,17954,12136,8463,5968
서구,계,1인가구,5278,3572,2749,2272,1981
유성구,계,계,18497,10501,6380,4454,3392
유성구,계,1인가구,3181,2007,1320,1166,977
대덕구,계,계,12911,8004,5601,4083,2787
대덕구,계,1인가구,2861,1889,1492,1298,1014
울산광역시,계,계,75450,46079,28410,18000,10859
울산광역시,계,1인가구,14553,9782,7074,5389,3645
읍부,계,계,12069,7077,4426,3172,2111
읍부,계,1인가구,2301,1416,1117,952,669
면부,계,계,3864,2702,1816,1353,1031
면부,계,1인가구,814,593,453,398,361
동부,계,계,59517,36300,22168,13475,7717
동부,계,1인가구,11438,7773,5504,4039,2615
중구,계,계,16168,10494,6722,4331,2471
중구,계,1인가구,3515,2474,1742,1359,890
남구,계,계,20896,12870,7755,4691,2616
남구,계,1인가구,4085,2773,1935,1375,858
동구,계,계,11720,7057,4096,2184,1153
동구,계,1인가구,2119,1373,969,650,411
북구,계,계,10733,5879,3595,2269,1477
북구,계,1인가구,1719,1153,858,655,456
울주군,계,계,15933,9779,6242,4525,3142
울주군,계,1인가구,3115,2009,1570,1350,1030
세종특별자치시,계,계,16706,10115,6705,4760,3837
세종특별자치시,계,1인가구,2769,1848,1416,1228,1065
읍부,계,계,2728,1861,1400,1072,771
읍부,계,1인가구,580,404,330,270,226
면부,계,계,4267,3025,2214,1979,1807
면부,계,1인가구,795,595,515,583,591
동부,계,계,9711,5229,3091,1709,1259
동부,계,1인가구,1394,849,571,375,248
세종시,계,계,16706,10115,6705,4760,3837
세종시,계,1인가구,2769,1848,1416,1228,1065
경기도,계,계,818757,500089,367984,259822,186280
경기도,계,1인가구,149537,99468,80817,64110,49637
읍부,계,계,90062,56530,42172,29988,21446
읍부,계,1인가구,17368,11317,9170,7156,5563
면부,계,계,69115,45090,33647,25445,20676
면부,계,1인가구,14309,9402,7397,6341,5559
동부,계,계,659580,398469,292165,204389,144158
동부,계,1인가구,117860,78749,64250,50613,38515
수원시,계,계,63345,37677,27254,18876,13513
수원시,계,1인가구,12434,8093,6507,5039,3809
장안구,계,계,16190,9998,7492,5502,4042
장안구,계,1인가구,3279,2161,1811,1535,1237
권선구,계,계,21323,12314,8649,5632,4042
권선구,계,1인가구,4200,2605,1964,1435,1006
팔달구,계,계,11900,7700,5716,4069,2715
팔달구,계,1인가구,2800,1889,1452,1124,817
영통구,계,계,13932,7665,5397,3673,2714
영통구,계,1인가구,2155,1438,1280,945,749
성남시,계,계,57831,36506,27462,18695,13414
성남시,계,1인가구,10908,7621,6188,4758,3756
수정구,계,계,16800,10931,8049,5129,3094
수정구,계,1인가구,4236,2866,2197,1540,873
중원구,계,계,15281,9709,6981,4612,2771
중원구,계,1인가구,3473,2322,1724,1234,780
분당구,계,계,25750,15866,12432,8954,7549
분당구,계,1인가구,3199,2433,2267,1984,2103
의정부시,계,계,30313,19050,14932,10793,7176
의정부시,계,1인가구,6217,4220,3780,2982,2083
안양시,계,계,37179,22208,15148,10358,7789
안양시,계,1인가구,5794,3905,3191,2550,2196
만안구,계,계,17338,10917,7672,5209,3658
만안구,계,1인가구,3164,2115,1675,1310,1026
동안구,계,계,19841,11291,7476,5149,4131
동안구,계,1인가구,2630,1790,1516,1240,1170
부천시,계,계,57299,32997,21866,14454,10124
부천시,계,1인가구,10955,7061,5210,4047,3076
원미구,계,계,27844,15603,10027,6532,4683
원미구,계,1인가구,5152,3106,2234,1770,1360
소사구,계,계,17425,10713,7159,4606,3155
소사구,계,1인가구,3222,2371,1787,1268,920
오정구,계,계,12030,6681,4680,3316,2286
오정구,계,1인가구,2581,1584,1189,1009,796
광명시,계,계,18542,11658,7924,5428,3783
광명시,계,1인가구,2945,2167,1777,1455,1048
평택시,계,계,29340,17928,13217,9866,7241
평택시,계,1인가구,6024,3954,3209,2588,1977
동두천시,계,계,6823,4537,3944,3206,2190
동두천시,계,1인가구,1818,1264,1181,1080,747
안산시,계,계,37715,20092,13651,9847,7343
안산시,계,1인가구,7550,4452,3438,2852,2279
상록구,계,계,19908,10655,7674,5743,4264
상록구,계,1인가구,4169,2375,1952,1678,1327
단원구,계,계,17807,9437,5977,4104,3079
단원구,계,1인가구,3381,2077,1486,1174,952
고양시,계,계,65280,36972,29456,23325,18561
고양시,계,1인가구,11306,7192,6445,5624,4962
덕양구,계,계,30685,18293,14610,11090,8173
덕양구,계,1인가구,6130,4044,3554,2880,2249
일산동구,계,계,17624,9556,7252,5905,4971
일산동구,계,1인가구,2731,1611,1439,1343,1242
일산서구,계,계,16971,9123,7594,6330,5417
일산서구,계,1인가구,2445,1537,1452,1401,1471
과천시,계,계,4738,2773,1925,1402,1226
과천시,계,1인가구,482,409,343,254,265
구리시,계,계,12312,7442,5386,3873,2478
구리시,계,1인가구,2319,1441,1158,980,634
남양주시,계,계,44612,29505,22088,15240,9710
남양주시,계,1인가구,7783,5521,4427,3366,2260
오산시,계,계,11174,6595,4780,3347,2133
오산시,계,1인가구,2229,1428,1166,921,600
시흥시,계,계,26270,14011,9518,6636,4644
시흥시,계,1인가구,5346,3139,2336,1767,1365
군포시,계,계,17590,9930,7153,5226,4317
군포시,계,1인가구,3202,2023,1730,1445,1354
의왕시,계,계,11035,6162,4253,2882,2197
의왕시,계,1인가구,1410,936,810,667,554
하남시,계,계,19312,12490,8482,4837,3265
하남시,계,1인가구,3290,2371,1668,1000,698
용인시,계,계,55560,39114,32410,22812,15297
용인시,계,1인가구,7878,5988,5441,4392,3191
처인구,계,계,16791,10777,7632,5273,3845
처인구,계,1인가구,2941,1992,1544,1201,888
기흥구,계,계,21763,15469,13207,9352,6225
기흥구,계,1인가구,3164,2441,2295,1847,1298
수지구,계,계,17006,12868,11571,8187,5227
수지구,계,1인가구,1773,1555,1602,1344,1005
파주시,계,계,27924,17133,13995,10761,7761
파주시,계,1인가구,5063,3309,2916,2518,1863
이천시,계,계,14010,8609,6097,4621,3505
이천시,계,1인가구,2580,1722,1314,1039,941
안성시,계,계,13593,9008,6413,4777,3803
안성시,계,1인가구,2646,1833,1436,1317,1097
김포시,계,계,26957,17606,13046,8536,5706
김포시,계,1인가구,4585,3208,2524,1833,1366
화성시,계,계,39670,23609,16095,10679,7839
화성시,계,1인가구,7195,4588,3408,2377,1814
광주시,계,계,26336,16050,11032,7084,4611
광주시,계,1인가구,4137,2693,1915,1339,902
양주시,계,계,17357,10837,8427,5719,3783
양주시,계,1인가구,3429,2358,1960,1469,969
