안동시,합계,153692
구미시,합계,407365
영주시,합계,99151
영천시,합계,99523
상주시,합계,92458
문경시,합계,65505
경산시,합계,298529
의성군,합계,47094
청송군,합계,23079
영양군,합계,15059
영덕군,합계,32655
청도군,합계,39479
고령군,합계,30934
성주군,합계,41068
칠곡군,합계,110043
예천군,합계,53609
봉화군,합계,27972
울진군,합계,45274
울릉군,합계,8515
경상남도,합계,3264243
읍부,합계,482827
면부,합계,694035
동부,합계,2087381
진주시,합계,346145
통영시,합계,120204
사천시,합계,109218
김해시,합계,549861
밀양시,합계,102535
거제시,합계,241284
양산시,합계,359628
창원시,합계,1001043
의창구,합계,210801
성산구,합계,244140
마산합포구,합계,178265
마산회원구,합계,178865
진해구,합계,188972
의령군,합계,24609
함안군,합계,61675
창녕군,합계,57766
고성군,합계,47664
남해군,합계,39011
하동군,합계,38704
산청군,합계,32480
함양군,합계,35073
거창군,합계,58393
합천군,합계,38950
제주특별자치도,합계,674817
읍부,합계,155663
면부,합계,37598
동부,합계,481556
제주시,합계,493908
서귀포시,합계,180909
