행정구역,인구 수,고령자 수,독거 노인 수,설치대수,고령인구구성비율,독거노인구성비율,무인행정공급비율,행정수요비율,고령인구구성비율(정규화),독거노인구성비율(정규화),무인행정공급비율(정규화),행정수요비율(정규화),디지털과잉지수,무인행정수급불균형지수
서울특별시 종로구,144486,27382,6118,28,0.18951317082623922,0.04234320280165552,0.0001937904018382404,0.002789006358720621,0.2609525783023623,0.17958393469721703,0.2210281601549307,0.1117756053611122,0.01035801852884862,-0.10925255479381851
서울특별시 중구,126899,24360,6187,31,0.19196368765711314,0.04875530934049914,0.0002442887650808911,0.002449525337508742,0.26790190101261513,0.22956285311426983,0.2925458060122084,0.09731812860882032,0.01799166207435022,-0.1952276774033881
서울특별시 용산구,203401,36473,7441,24,0.17931573591083624,0.03658290765532126,0.00011799352018918294,0.003926239790499654,0.23203408031405706,0.13468553517238552,0.11368181879302133,0.16020696050191371,0.003552742625810778,0.04652514170889238
서울특별시 성동구,274688,48758,9647,30,0.17750320363466915,0.03511984506057782,0.0001092148182665424,0.005302289347509447,0.2268939924961977,0.12328174990793928,0.10124909711899004,0.21880877691407224,0.0028321284491142885,0.11755967979508221
서울특별시 광진구,345130,56766,11148,30,0.16447715353634862,0.032300872135137486,8.692376785559064e-05,0.006662027909868416,0.18995393779725983,0.10130937359026951,0.06967968879149962,0.2767159570690131,0.0013409239058914213,0.20703626827751348
서울특별시 동대문구,355789,66244,14633,36,0.18618900528122004,0.04112830919449449,0.00010118356666451183,0.006867778077895789,0.2515257101316982,0.1701144930854982,0.08987494217648684,0.2854782385668626,0.003845584185685279,0.19560329639037577
서울특별시 중랑구,375066,79570,18803,21,0.21214932838487094,0.0501325100115713,5.599014573435075e-05,0.007239881088409316,0.3251455525407649,0.24029739090874616,0.02587035142111162,0.3013249878335898,0.0020212926719405367,0.2754546364124782
서울특별시 성북구,429210,79278,15827,31,0.18470678688753758,0.036874723328906595,7.2225717014981e-05,0.008285020135006007,0.24732234624739521,0.136960081244661,0.04886376670388692,0.34583431979902407,0.0016551764733864817,0.29697055309513715
서울특별시 강북구,280470,68153,17191,28,0.24299568581309944,0.06129354298142404,9.983242414518486e-05,0.005413899017416031,0.4126215043497221,0.32729163420011004,0.08796140427159249,0.2235618974338739,0.01187897358969873,0.1356004931622814
서울특별시 도봉구,296997,70910,15155,23,0.23875662043724347,0.05102745145573861,7.744185968208433e-05,0.0057329189092434445,0.4006001083260202,0.24727297766095008,0.056251060470506625,0.23714799615936022,0.005572094014729206,0.1808969356888536
