행정구역,무인행정수급불균형지수
전라남도 목포시,0.01843515960905534
전라남도 여수시,0.041240864726544424
전라남도 순천시,0.029449708358127463
전라남도 나주시,-0.1445618320462045
전라남도 광양시,-0.04653920768001242
전라남도 담양군,-0.3757716162602337
전라남도 곡성군,-0.6406005463167357
전라남도 구례군,-0.24651145744999073
전라남도 고흥군,-0.4594541691453158
전라남도 보성군,-0.5528159072428874
전라남도 화순군,-0.4553995067198271
전라남도 장흥군,-0.435733701223772
전라남도 강진군,-0.2017961099001668
전라남도 해남군,-0.42735416101928936
전라남도 영암군,-0.3265821253955297
전라남도 무안군,-0.13631968666731978
전라남도 함평군,-0.417933893148035
전라남도 영광군,-0.42218518851646325
전라남도 장성군,-0.27410473896206183
전라남도 완도군,-0.4136558451624315
전라남도 진도군,-0.602666232470869
전라남도 신안군,-0.5215314468166099
경상북도 포항시,0.2937858055459288
경상북도 경주시,0.05111577157072869
경상북도 김천시,-0.1120010695088065
경상북도 안동시,-0.13131911180684247
경상북도 구미시,0.2352851440611642
경상북도 영주시,-0.2434418532351756
경상북도 영천시,-0.21328741934576612
경상북도 상주시,-0.3370980286799175
경상북도 문경시,-0.4618536062533257
경상북도 경산시,0.1732310594926505
경상북도 의성군,-0.6065297573656951
경상북도 청송군,-0.48688532422030656
경상북도 영양군,-0.5995166751357985
경상북도 영덕군,-0.6640152033888678
경상북도 청도군,-0.35159898668995837
경상북도 고령군,-0.34018820182634474
경상북도 성주군,-0.40260705448677825
경상북도 칠곡군,-0.0819009174390927
경상북도 예천군,-0.33219161671147585
경상북도 봉화군,-0.4875160426976508
경상북도 울진군,-0.479423445514631
경상북도 울릉군,-0.6118654263084913
경상남도 진주시,0.2082316332513135
경상남도 통영시,-0.11396335693079081
경상남도 사천시,-0.11016589742153984
경상남도 김해시,0.4134453107473557
경상남도 밀양시,-0.2145911806513599
경상남도 거제시,-0.04870542225187807
경상남도 양산시,0.2160411224514637
경상남도 창원시,0.6755150088867942
경상남도 의령군,-0.6814890588254396
경상남도 함안군,-0.17842942038272935
경상남도 창녕군,-0.3473902478895877
경상남도 고성군,-0.2115216802208048
경상남도 남해군,-0.39345151574361925
경상남도 하동군,-0.6169962808932657
경상남도 산청군,-0.5373214420457415
경상남도 함양군,-0.20740074892388502
경상남도 거창군,-0.3178827588026045
경상남도 합천군,-0.6851238425336087
제주특별자치도 제주시,0.30333923905944987
제주특별자치도 서귀포시,-0.05536810833129327
