행정구역,고령자 수,독거 노인 수
경상북도 고령군,10175,2932
경상북도 성주군,14222,3848
경상북도 칠곡군,19896,5253
경상북도 예천군,17041,4992
경상북도 봉화군,11515,3421
경상북도 울진군,13837,4462
경상북도 울릉군,2433,651
경상남도 진주시,67160,17659
경상남도 통영시,28507,7972
경상남도 사천시,26141,7565
경상남도 김해시,75141,18729
경상남도 밀양시,32302,9701
경상남도 거제시,34298,8121
경상남도 양산시,59891,15462
경상남도 창원시,182218,45374
경상남도 의령군,9676,3462
경상남도 함안군,16855,5091
경상남도 창녕군,19575,6054
경상남도 고성군,16406,4840
경상남도 남해군,15874,5047
경상남도 하동군,15290,4525
경상남도 산청군,12835,3950
경상남도 함양군,13141,4225
경상남도 거창군,17867,5362
경상남도 합천군,16639,5749
제주특별자치도 제주시,80153,16897
제주특별자치도 서귀포시,38732,8272
